Date,Status,Quantity
14/11/2022 11:11:39,Out of stock,0
14/11/2022 11:48:32,Out of stock,0
14/11/2022 14:50:26,Out of stock,0
14/11/2022 15:35:40,Out of stock,0
14/11/2022 16:59:46,Out of stock,0
14/11/2022 17:34:14,Out of stock,0
14/11/2022 18:56:56,Out of stock,0
14/11/2022 19:12:16,Out of stock,0
14/11/2022 19:25:36,Out of stock,0
14/11/2022 20:13:27,Out of stock,0
14/11/2022 20:33:02,Out of stock,0
14/11/2022 21:11:49,Out of stock,0
14/11/2022 21:42:27,Out of stock,0
14/11/2022 23:12:14,Out of stock,0
14/11/2022 23:30:18,Out of stock,0
14/11/2022 23:42:39,Out of stock,0
14/11/2022 23:50:46,Out of stock,0
15/11/2022 01:02:01,Out of stock,0
15/11/2022 02:57:13,Out of stock,0
15/11/2022 03:44:45,Out of stock,0
15/11/2022 04:03:50,Out of stock,0
15/11/2022 04:40:35,Out of stock,0
15/11/2022 04:54:31,Out of stock,0
15/11/2022 05:10:57,Out of stock,0
15/11/2022 05:28:10,Out of stock,0
15/11/2022 05:38:37,Out of stock,0
15/11/2022 05:48:35,Out of stock,0
15/11/2022 06:14:55,Out of stock,0
15/11/2022 06:37:38,Out of stock,0
15/11/2022 07:11:19,Out of stock,0
15/11/2022 07:26:54,Out of stock,0
15/11/2022 08:16:20,Out of stock,0
15/11/2022 09:12:21,Out of stock,0
15/11/2022 09:41:45,Out of stock,0
15/11/2022 09:49:58,Out of stock,0
15/11/2022 10:12:54,Out of stock,0
15/11/2022 10:33:44,Out of stock,0
15/11/2022 11:25:24,Out of stock,0
15/11/2022 11:48:33,Out of stock,0
15/11/2022 13:09:43,Out of stock,0
15/11/2022 13:54:09,Out of stock,0
15/11/2022 14:39:16,Out of stock,0
15/11/2022 14:48:33,Out of stock,0
15/11/2022 15:48:57,Out of stock,0
15/11/2022 16:52:21,Out of stock,0
15/11/2022 17:13:08,Out of stock,0
15/11/2022 17:31:23,Out of stock,0
15/11/2022 17:48:37,Out of stock,0
15/11/2022 18:14:32,Out of stock,0
15/11/2022 19:09:21,Out of stock,0
15/11/2022 19:23:13,Out of stock,0
15/11/2022 19:34:48,Out of stock,0
15/11/2022 20:48:34,Out of stock,0
15/11/2022 21:27:15,Out of stock,0
15/11/2022 21:37:23,Out of stock,0
15/11/2022 22:11:22,Out of stock,0
15/11/2022 22:41:50,Out of stock,0
15/11/2022 23:42:04,Out of stock,0
15/11/2022 23:50:20,,1
16/11/2022 01:02:36,Out of stock,0
16/11/2022 02:58:44,Out of stock,0
16/11/2022 03:47:43,Out of stock,0
16/11/2022 04:18:48,Out of stock,0
16/11/2022 04:48:13,Out of stock,0
16/11/2022 05:38:42,Out of stock,0
16/11/2022 05:48:40,Out of stock,0
16/11/2022 06:52:40,Out of stock,0
16/11/2022 07:11:17,Out of stock,0
16/11/2022 07:36:10,Out of stock,0
16/11/2022 07:48:35,Out of stock,0
16/11/2022 08:44:53,Out of stock,0
16/11/2022 09:12:06,Out of stock,0
16/11/2022 09:30:15,Out of stock,0
16/11/2022 09:42:28,Out of stock,0
16/11/2022 09:50:07,Out of stock,0
16/11/2022 10:12:29,Out of stock,0
16/11/2022 10:33:00,Out of stock,0
16/11/2022 11:10:16,Out of stock,0
16/11/2022 11:25:35,Out of stock,0
16/11/2022 11:34:35,Out of stock,0
16/11/2022 14:10:55,Out of stock,0
16/11/2022 14:28:13,Out of stock,0
16/11/2022 15:12:26,Out of stock,0
16/11/2022 15:49:42,Out of stock,0
16/11/2022 17:11:33,Out of stock,0
16/11/2022 17:40:57,Out of stock,0
16/11/2022 19:48:42,Out of stock,0
16/11/2022 20:12:38,Out of stock,0
16/11/2022 20:30:47,Out of stock,0
16/11/2022 21:36:33,Out of stock,0
16/11/2022 21:48:39,Out of stock,0
16/11/2022 22:11:09,Out of stock,0
16/11/2022 23:11:37,Out of stock,0
16/11/2022 23:29:49,Out of stock,0
16/11/2022 23:41:25,Out of stock,0
16/11/2022 23:49:23,Out of stock,0
17/11/2022 03:39:15,Out of stock,0
17/11/2022 03:59:23,Out of stock,0
17/11/2022 04:25:44,Out of stock,0
17/11/2022 04:44:06,Out of stock,0
17/11/2022 05:28:50,Out of stock,0
17/11/2022 05:39:38,Out of stock,0
17/11/2022 05:48:32,Out of stock,0
17/11/2022 06:14:38,Out of stock,0
17/11/2022 06:37:49,Out of stock,0
17/11/2022 06:52:53,Out of stock,0
